License Number,BirthDate,LastName,FirstName,Address,City,State,Zip,Gender
DL-10000501,2/17/2000,Smith,Timothy,230 W 150th St,New York,NY,10039,M
DL-10001786,10/19/1986,Johnson,Sanda,345 E 73rd St,New York,NY,10021,F
DL-10003086,12/20/1970,Williams,Mark,448 E. 88th St. #5B,New York,NY,10128,M
DL-10004372,12/29/1972,Brown,Kathy,433 E. 80th St,New York,NY,10075,F
DL-10004387,1/15/1977,Jones,Miranda,609 Church St.,Syracuse,NY,13212,F
DL-10004672,8/12/1988,Miller,Steve,903 Champlin Ave,Utica,NY,13502,M
DL-12344537,10/1/1981,Davis,Austin,288 Kimball Ave,Yonkers,NY,10704,M
DL-12345678,6/18/1972,Garcia,Emily,321 Deforest Rd,Syracuse,NY,13214,F
DL-12345823,10/18/2002,Rodriguez,Franco,24 Alwin Pl,Buffalo,NY,14211,M
DL-12345838,3/22/1972,Wilson,Eric,748 South St #2,Utica,NY,13501,M
DL-12346123,11/2/1972,Schooler,Claudia,74 Morris St,Albany,NY,12208,F
DL-12346251,11/20/1972,Pelayo,Randy,72 Wylie St,Schenectady,NY,12307,M
DL-12346377,1/9/1973,Johns,Greg,118 Boyden St,Syracuse,NY,13202,M
DL-12346978,1/15/1973,Juarez,Jon,38 Cliff St,Yonkers,NY,10701,M
DL-12348264,4/19/1993,Carter,Kevin,180 Wyoming Ave,Buffalo,NY,14215,M
DL-12348279,4/22/1973,Altier,Sharon,131 Ridgewood Cir,Buffalo,NY,14218,F
DL-12348564,6/28/1983,Gates,Kristin,28 Besch Ave,Albany,NY,12209,F
DL-12348692,7/28/1973,Finch,Michael,1022 West St,Utica,NY,13501,M
DL-12388495,6/23/1975,Krentler,Amanda,1815 Bleecker St,Utica,NY,13501,F
DL-12388510,6/27/1975,Rios,Carlos,418 Spratt Pl,Utica,NY,13502,M
DL-12388795,2/12/1985,Doiron,Caroline,118 Manning Blvd,Albany,NY,12203,F
DL-12388923,2/27/1985,Singh,Mehdi,299 Clinton Ave,Albany,NY,12210,M
DL-12389049,3/18/1989,Hirshman,Bonnie,603 Ravine Dr,Utica,NY,13502,F
DL-12390334,3/23/1989,Kerr,Steve,428 Whitehall Rd,Albany,NY,12208,M
DL-12394037,9/7/1993,Plice,Haley,705 Renaissance Dr,Buffalo,NY,14221,F
DL-12394163,10/7/1993,Harvey,Jake,98 Manhart St,Buffalo,NY,14215,M
DL-12395448,10/9/2001,Tyler,Jackie,720 Albany St,Schenectady,NY,12307,F
DL-12396748,10/14/2001,Bertram,James,89 Robinson St,Schenectady,NY,12304,M
DL-12398034,8/1/1979,Peters,Richard,446 Herkimer St,Buffalo,NY,14213,M
DL-15500501,9/18/1979,Addo,Kathy,50 Main St,Yonkers,NY,10701,F
DL-15500786,10/2/1979,Shin,Brian,111 Morris St #1,Yonkers,NY,10705,M
DL-15500914,3/4/1980,Taylor,Michelle,526 Altamont Ave,Schenectady,NY,12303,F
DL-15501040,7/17/1981,Fishberg,Steve,359 Warburton Ave,Yonkers,NY,10701,M
DL-15502325,8/1/1981,Stokes,Ron,503 Joanne Dr,Utica,NY,13502,M
DL-15503625,3/3/1984,Norman,Corey,152 Edna Pl,Buffalo,NY,14209,M
DL-18955678,4/14/1984,Rizzo,Eric,39 Moultie Ave,Yonkers,NY,10710,M
DL-18955806,7/19/1984,Smith,Nancy,2906 Grant Blvd,Syracuse,NY,13208,F
DL-18955932,8/1/1984,Moyers,Molly,80 Westgate Rd,Buffalo,NY,14217,F
DL-18957217,9/29/1985,Healy,Jessica,1025 Warren St,Utica,NY,13502,F
DL-18958517,6/12/1987,Valenzuela,Kaitlin,6298 Stage Rd,Utica,NY,13502,F
DL-39988495,6/14/1987,Shin,Lucy,238 Marshall Ave,Schenectady,NY,12304,F
DL-39989780,6/2/1988,Nguyen,Kevin,358 Breckenridge St,Buffalo,NY,14213,M
DL-39991080,11/5/1988,Kirby,Kayla,27 Lawrence St,Yonkers,NY,10705,F
DL-39992366,9/2/1992,Watson,Mark,213 Garfield St,Utica,NY,13502,M
DL-39992381,9/9/1996,Larson,Annie,1122 Lexington Ave,Schenectady,NY,12309,F
