TicketNumber,DLNumber,TicketDate,City,Violation,OfficerBadgeNumber,Fine
4235879527,12348279,7/5/2026,Buffalo,Unsafe Speed,A00032567,360
4235879530,12346123,7/7/2026,New York,passing/lane violations,A00061444,150
4235879534,12389049,7/11/2026,Utica,Passing/Lane Violations,A00045729,130
4235879759,15500786,7/16/2026,Yonkers,Alcohol,A00057706,400
4235879760,10004387,7/16/2026,Yonkers,Alcohol,A00057706,400
4235879761,39989780,7/16/2026,New York,unsafe speed,A00061444,90
4235889527,15503625,7/25/2026,Buffalo,alcohol,A00032567,400
,,,,,  ,  
4235893852,10000501,8/2/2026,New York,Unsafe Speed,A00061444,45
4235893950,12389049,8/6/2026,Yonkers,Driver Distraction,A00057706,150
4235893968,12348692,8/7/2026,Utica,Failure to Keep Right,A00045729,60
4235894281,15503625,8/12/2026,Albany,Alcohol,A00092385,400
4235894283,12346978,8/12/2026,Albany,alcohol,A00092385,400
4235894307,39989780,8/13/2026,Albany,unsafe speed,A00092385,45
4235894327,12389049,8/14/2026,New York,Alcohol,A00061444,400
4235894352,10000501,8/15/2026,Albany,passing/lane violations,A00092385,120
4235894379,15500786,8/16/2026,Yonkers,Traffic Control Disregarded,A00057706,150
4235894386,12348692,8/17/2026,Utica,Unsafe Speed,A00045729,45
,,,,  ,,
4235894388,12348279,8/17/2026,Utica,unsafe speed,A00045729,90
4235894390,18957217,8/17/2026,Utica,Unsafe Speed,A00056591,45
4235894394,39992366,8/17/2026,Utica,unsafe speed,A00056591,180
4235894399,10003086,8/18/2026,Albany,Passing/Lane Violations,A00092385,120
4235894427,12388795,9/19/2026,Albany,Turning Improperly,A00061403,90
4235894496,12345838,9/24/2026,Syracuse,driver distraction,A00021411,90
4235894590,12345678,8/29/2026,Utica,Turning Improperly,A00056591,120
4235894823,15500786,9/6/2026,Utica,Failure to Keep Right,A00045729,60
4235894914,18957217,10/8/2026,Utica,Unsafe Speed,A00056591,90
4235895001,12348279,10/10/2026,Buffalo,unsafe speed,A00032567,60
4235895049,12344537,10/13/2026,Yonkers,alcohol,A00057706,45
4235895121,12348692,9/15/2026,Yonkers,Driver Distraction,A00057706,300
,,,  ,,,
4235895197,10001786,9/20/2026,Utica,Unsafe Speed,A00056591,60
4235895280,39989780,9/24/2026,Syracuse,Alcohol,A00021411,400
4235895648,10000501,10/11/2026,Buffalo,unsafe speed,A00032567,180
4235895673,10004372,10/13/2026,Albany,Unsafe Speed,A00092385,90
4235896886,15500786,11/14/2026,Syracuse,alcohol,A00021411,300
4235896888,12344537,11/14/2026,Syracuse,Turning Improperly,A00021411,120
4235896903,15502325,11/14/2026,Syracuse,Traffic Control Disregarded,A00021411,130
4235896915,18955806,11/14/2026,Syracuse,unsafe speed,A00021411,90
4235900011,15501040,12/2/2026,Utica,Turning Improperly,A00061403,75
TicketNumber,DLNumber,TicketDate,City,PrimaryFactor,OfficerBadgeNumber,Fine
